"","Pathway","Pathway.STID","Reaction","Reaction.STID","UniProtID","Oryza.sativa","Actinidia.chinensis","Aegilops.tauschii","Amborella.trichopoda","Arabidopsis.halleri","Arabidopsis.lyrata","Arabidopsis.thaliana","Arachis.duranensis","Arachis.ipaensis","Beta.vulgaris","Brachypodium.distachyon","Brassica.napus","Brassica.oleracea","Brassica.rapa","Cajanus.cajan","Capsicum.annuum","Chlamydomonas.reinhardtii","Chondrus.crispus","Cicer.arietinum","Citrus.sinensis","Coffea.canephora","Corchorus.capsularis","Cucumis.sativus","Cyanidioschyzon.merolae","Danio.rerio","Daucus.carota","Dioscorea.rotundata","Erythranthe.guttata","Eucalyptus.grandis","Fragaria.vesca","Galdieria.sulphuraria","Glycine.max","Gossypium.raimondii","Helianthus.annuus","Hordeum.vulgare","Jatropha.curcas","Leersia.perrieri","Lupinus.angustifolius","Malus.domestica","Manihot.esculenta","Medicago.truncatula","Musa.acuminata","Nicotiana.attenuata","Oryza.australiensis","Oryza.barthii","Oryza.brachyantha","Oryza.glaberrima","Oryza.glumaepatula","Oryza.longistaminata","Oryza.meridionalis","Oryza.meyeriana.var..granulata","Oryza.minuta","Oryza.nivara","Oryza.officinalis","Oryza.punctata","Oryza.rufipogon","Oryza.sativa.1","Oryza.sativa.aus.subgroup","Oryza.sativa.Indica.Group","Ostreococcus.lucimarinus","Panicum.hallii.FIL2","Panicum.hallii.var..hallii.HAL2","Phaseolus.vulgaris","Phoenix.dactylifera","Physcomitrella.patens","Picea.abies","Pinus.taeda","Populus.trichocarpa","Prunus.persica","Selaginella.moellendorffii","Setaria.italica","Solanum.lycopersicum","Solanum.tuberosum","Sorghum.bicolor","Synechocystis.sp..PCC.6803","Theobroma.cacao","Trifolium.pratense","Triticum.aestivum","Triticum.dicoccoides","Triticum.turgidum","Triticum.urartu","Vigna.angularis","Vigna.radiata","Vitis.vinifera","Zea.mays"
"11","Abscisic acid (ABA) mediated signaling","R-OSA-3899351","ABAR dimer + abscisic acid (ABA) => ABAR:ABA","R-OSA-3899346","Q10MS2, Q5Z8S0, Q6H5Z4, Q6I5C3, Q7XBY6, Q941W8",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Abscisic acid biosynthesis","R-OSA-1119374","Xanthoxin dehydrogenase","R-OSA-1120824","Q7XZH5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Abscisic acid biosynthesis","R-OSA-1119374","Abscisic-aldehyde oxidase","R-OSA-1119970","Q6Z351, Q852M1, Q852M2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Abscisic acid biosynthesis","R-OSA-1119374","9-cis-epoxycarotenoid dioxygenase","R-OSA-1119765","Q0D8J6, Q2QLJ0, Q5MBR3, Q5MBR5",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","Abscisic acid homeostasis","R-OSA-9608520","Conversion of ABA into abscisic acid Ì_å_-D-glucopyranosyl ester","R-OSA-9608519","B9FDG1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","R-OSA-1112963","eIF4F binds to mRNP","R-OSA-1113121","",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S","R-OSA-1112963","Formation of the cap-binding eIF4F complex","R-OSA-1113118","",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Acyl-CoA synthetase pathway","R-OSA-1119623","a fatty acid+coenzyme A+ATP->a fatty acyl CoA+diphosphate+AMP","R-OSA-1120638","B8BND3, B9GC24, Q2QX58, Q5W6W7",2,3,2,2,2,2,2,3,2,2,3,4,2,2,3,3,0,0,4,8,2,3,2,0,0,5,2,2,2,2,0,6,3,3,2,2,2,4,4,3,3,4,2,4,2,2,2,2,2,2,11,3,2,3,2,2,0,1,2,1,2,3,4,2,3,1,1,4,2,4,2,3,3,2,1,2,3,6,4,5,2,4,4,2,3
"19","Alanine biosynthesis II","R-OSA-1119330","Alanine aminotransferase","R-OSA-1119647","A2WL56, A2YHE6, A2ZPQ4, B8B8K7, B8BGM4, B9F5J7, B9FU86, Q0D4M5, Q0IXY9, Q0JQC9, Q10QT9, Q338N7, Q338N8, Q5VQG8, Q69UU3, Q7X7S9, Q84UX4, Q94HC5, Q94HF9, Q9S768",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Alanine biosynthesis III","R-OSA-1119319","protein L-cysteine+ free L-cysteine->protein-S-sulfanylcysteine+L-alanine plastidic","R-OSA-5606285","B8BP62, B9GCP8, Q0INV6, Q2QTQ1",1,2,0,0,1,0,1,2,1,0,1,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,4,1,0,1,1,1,1,4,2,1,1,1,1,0,0,1,0,1,1,0,1,0,2,1,0,0,0,1,0,0,2,1,1,0,1,0,1,1,0,0,0,1
"21","Allantoin degradation I","R-OSA-1119502","Tartronate-semialdehyde synthase","R-OSA-1120212","Q9LGL5",1,0,2,1,3,4,4,2,2,1,1,7,4,3,2,1,1,0,5,4,2,3,5,0,0,3,0,0,0,2,0,5,4,7,2,0,1,3,5,3,5,0,4,3,1,1,1,1,1,1,4,2,1,1,1,1,0,2,1,0,1,1,2,4,4,3,1,2,4,4,1,3,3,1,0,5,5,6,3,3,1,3,0,2,1
"22","Allantoin degradation I","R-OSA-1119502","Allantoinase","R-OSA-1120274","B9FDB8",1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,0,0,1,6,1,0,1,0,0,1,0,0,0,2,0,4,1,1,0,0,1,1,2,1,1,1,0,4,1,1,1,1,1,1,4,4,1,6,1,1,0,0,1,0,0,1,2,0,3,0,0,1,1,2,1,0,1,1,1,1,1,3,2,2,0,2,1,0,1
"23","Allantoin degradation I","R-OSA-1119502","glycerate+ATP->3-phosphoglycerate+ADP","R-OSA-1120433","Q5QLG3",1,1,1,1,1,1,1,1,0,1,1,6,3,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,2,2,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,2,1,0,1,0,0,2,1,2,2,0,1,2,0,1,1,3,1,0,1,1,1,1,1
"24","Aminopropanol biosynthesis","R-OSA-1119309","L-threonine 3-dehydrogenase","R-OSA-9032265","A2XSG0, A2Y334, A2YQI0, A2YUR3, A2Z2T5, A2Z2U1, A2ZXX0, B7F2J6, B8A9U0, B8BA46, B8BCL9, B8BDA1, B8BI22, Q01KR8, Q01KS1, Q01KT3, Q01KT9, Q0J0N7, Q0J0N8, Q0J0P9, Q0JDX6, Q5JMM6, Q5WMV3, Q67J16, Q6ZC70, Q7EYM8, Q7FA53, Q7XMU4, Q7XMU7, Q7XVK0",12,8,7,8,6,7,6,5,6,8,8,19,9,8,8,9,2,2,7,23,6,8,7,0,0,16,4,7,13,13,1,13,19,15,10,7,6,9,16,11,13,11,2,11,7,5,5,7,7,7,10,13,7,7,6,8,0,1,8,0,8,10,9,6,10,7,7,11,13,12,9,9,8,7,0,6,9,28,16,16,4,7,5,8,10
"25","Ammonia assimilation cycle","R-OSA-1119443","L-glutamine+2-oxoglutarate+NADH->NAD++ 2 L-glutamate","R-OSA-1120786","Q0JKD0",1,0,0,0,0,0,0,2,2,0,0,1,0,0,2,1,0,0,1,2,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,27,2,0,2,0,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"26","Ammonia assimilation cycle","R-OSA-1119443","ammonia+L-glutamate+ATP->L-glutamine+ADP+phosphate cytosolic","R-OSA-1121516","A6MZK9, A6N051, B8AJN3, B8AQE3, P14654, P14656, Q0DXS9, Q10DZ8, Q10PS4, Q4W8D0",3,3,1,2,5,5,5,1,2,1,3,17,9,8,3,1,3,3,3,2,2,2,2,1,0,3,3,3,1,2,1,8,5,5,1,1,1,2,0,3,2,6,1,2,3,3,3,3,3,3,2,4,3,1,4,3,0,2,2,0,3,3,4,4,6,2,2,5,3,2,3,3,3,3,1,3,2,3,5,1,1,2,4,2,3
"27","Anther and pollen development","R-OSA-8986768","TDR1-TIP2 complex formation","R-OSA-8986797","Q5JNS0, Q6YUS3",2,0,3,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,9,6,3,2,0,0,0,2
"28","Anther and pollen development","R-OSA-8986768","MSP1-TPD1A complex formation","R-OSA-8986619","Q2QR54, Q8RZV7",2,0,4,0,0,0,0,0,0,0,2,0,0,0,6,4,0,0,4,5,5,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,2,0,3,2,0,2,0,9,0,0,0,0,3,0,0,2,0,0,0,10,4,5,3,0,0,0,3
"29","Anthocyanin biosynthesis (delphinidin 3-O-glucoside)","R-OSA-1119514","UDP-D-glucose+delphinidin->UDP+delphinidin-3-O-beta-D-glucoside","R-OSA-1121671","A2YI63, Q69TJ1, Q6ZF65",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Anthocyanin biosynthesis (delphinidin 3-O-glucoside)","R-OSA-1119514","leucodelphinidin+O2+alpha-ketoglutarate->delphinidin+H2O+CO2+succinate","R-OSA-1120736","Q67VR7, Q93VC3",2,2,1,1,1,1,1,1,1,0,0,4,2,2,3,1,0,0,2,3,1,0,0,0,0,1,0,1,1,2,0,2,2,1,1,2,1,1,8,1,1,1,0,1,1,0,1,2,0,1,2,2,1,1,1,0,0,0,2,0,1,1,1,3,0,16,14,2,1,0,1,1,0,1,0,1,1,5,4,5,1,1,1,1,1
"31","Anthocyanin biosynthesis (pelargonidin 3-O-glucoside, cyanidin 3-O-glucoside)","R-OSA-1119440","UDP-D-glucose+cyanidin->UDP+cyanidin-3-O-beta-D-glucoside","R-OSA-1121636","A2YI63, Q69TJ1, Q6ZF65",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Anthocyanin biosynthesis (pelargonidin 3-O-glucoside, cyanidin 3-O-glucoside)","R-OSA-1119440","UDP-D-glucose+pelargonidin->UDP+pelargonidin-3-O-beta-D-glucoside","R-OSA-1120429","A2YI63, Q69TJ1, Q6ZF65",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Anthocyanin biosynthesis (pelargonidin 3-O-glucoside, cyanidin 3-O-glucoside)","R-OSA-1119440","leucopelargonidin+alpha-ketoglutarate+O2->pelargonidin+succinate+CO2+H2O","R-OSA-1119980","A2WQ39, A2YF86, B9EWT8, P93403, Q67VR7, Q93VC3",2,2,1,1,1,1,1,1,1,0,0,4,2,2,3,1,0,0,2,3,1,0,0,0,0,1,0,1,1,2,0,2,2,1,1,2,1,1,8,1,1,1,0,1,1,0,1,2,0,1,2,2,1,1,1,0,0,0,2,0,1,1,1,3,0,16,14,2,1,0,1,1,0,1,0,1,1,5,4,5,1,1,1,1,1
"34","Anthocyanin biosynthesis (pelargonidin 3-O-glucoside, cyanidin 3-O-glucoside)","R-OSA-1119440","Leucocyanidin oxygenase","R-OSA-1119807","A2WQ39, A2YF86, B9EWT8, P93403, Q67VR7, Q93VC3",2,2,1,1,1,1,1,1,1,0,0,4,2,2,3,1,0,0,2,3,1,0,0,0,0,1,0,1,1,2,0,2,2,1,1,2,1,1,8,1,1,1,0,1,1,0,1,2,0,1,2,2,1,1,1,0,0,0,2,0,1,1,1,3,0,16,14,2,1,0,1,1,0,1,0,1,1,5,4,5,1,1,1,1,1
"35","Arginine biosynthesis I","R-OSA-1119263","Acetylornithine deacetylase","R-OSA-1121004","Q6ZGS9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Arginine biosynthesis II (acetyl cycle)","R-OSA-1119622","Amino-acid N-acetyltransferase","R-OSA-1121457","B8AL33, Q10N78, Q10N79",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Arginine biosynthesis II (acetyl cycle)","R-OSA-1119622","Acetylglutamate kinase","R-OSA-1121171","A2X7Z3, A2XW70, A3A9S7, Q01JC9, Q5KSL5, Q6H6G1, Q7XU28, Q949B4",2,2,2,1,1,1,1,0,1,1,2,4,2,2,1,1,1,1,1,1,2,1,1,1,0,1,0,2,1,1,1,2,1,3,2,1,2,0,4,2,1,1,0,0,2,2,2,2,2,1,3,1,2,1,0,2,0,1,2,1,2,2,1,0,1,1,1,2,1,2,2,1,1,2,1,2,1,6,4,3,1,2,0,1,2
"38","Arginine biosynthesis II (acetyl cycle)","R-OSA-1119622","N-acetyl-gamma-glutamyl-phosphate reductase","R-OSA-1119784","B8AMJ8, B8BHN2, Q10GQ5, Q6AV34, Q7G2H3, Q8LNT4",2,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,2,1,0,1,1,0,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,3,2,1,2,1,2,2,0,0,2,0,1,1,1,1,2,0,1,1,1,2,1,1,2,1,1,1,2,3,2,4,0,1,1,1,1
"39","Arginine biosynthesis II (acetyl cycle)","R-OSA-1119622","Glutamate N-acetyltransferase","R-OSA-1119705","B8AL33, Q10N78, Q10N79",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Arginine biosynthesis II (acetyl cycle)","R-OSA-1119622","Acetylornithine aminotransferase","R-OSA-1119721","B8AXK7, Q688Q8, Q6Z3A4",2,3,1,1,1,1,1,2,2,1,1,5,1,3,2,2,1,1,2,6,3,0,1,0,0,1,1,1,2,3,0,2,1,2,1,2,1,1,8,2,1,2,0,3,1,1,0,1,1,1,4,3,0,3,1,1,0,0,0,1,1,1,1,2,2,2,2,2,2,4,1,1,1,1,1,1,2,3,2,5,1,2,2,2,1
"41","Arginine biosynthesis II (acetyl cycle)","R-OSA-1119622","Ornithine carbamoyltransferase","R-OSA-5142847","A6N096, B8AH93, Q0DYB2, Q6YVI0",1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,2,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,2,1,1,1,1,1,1,2,1,1,1,1,1,0,2,1,0,1,1,0,1,3,3,1,0,1,2,1,1,2,1,1,1,1,3,2,1,0,0,0,1,8
"42","Arginine biosynthesis II (acetyl cycle)","R-OSA-1119622","carbamoyl-phosphate synthetase (glutamine-hydrolysing)","R-OSA-1121280","A2X8S4, A3AAK1, B9EXM2, Q6YV22, Q6YV23, Q6YV24, Q8S3R8",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Arginine degradation","R-OSA-1119289","Conversion of P5C to glutamate","R-OSA-9031496","B8AW91, B9FLB9, Q0DGE6, Q6L5I4",1,2,1,1,1,1,1,1,0,1,1,3,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3,1,2,1,0,1,2,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1,2,1,1,1,1,0,1,2,3,2,0,1,1,1,1,1
"44","Arginine degradation","R-OSA-1119289","Conversion of ornithine to glutamate g-semialdehyde","R-OSA-5631977","A2XK24, B8ANL7, B9F9X9, Q10G56, Q60DP3",1,1,1,1,1,1,1,1,1,1,1,4,2,2,1,1,1,1,1,3,1,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,0,1,5,2,0,1,0,3,1,1,1,1,1,0,2,2,1,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1
