"UniProtID","PathwayID","Pathway.name","reaction.ID","Plant.Reactome.webcite","Reaction.name","plant.species"
"A0EQD9","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626348","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626348","Synthesis of amylose","Oryza sativa"
"A0EQD9","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626473","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626473","Conversion of amylose to amylopectin","Oryza sativa"
"A0EQE0","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626348","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626348","Synthesis of amylose","Oryza sativa"
"A0EQE0","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626473","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626473","Conversion of amylose to amylopectin","Oryza sativa"
"A0EQE7","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626473","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626473","Conversion of amylose to amylopectin","Oryza sativa"
"A0EQE7","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626348","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626348","Synthesis of amylose","Oryza sativa"
"A0EQF8","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626473","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626473","Conversion of amylose to amylopectin","Oryza sativa"
"A0EQF8","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626348","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626348","Synthesis of amylose","Oryza sativa"
"A0EQG6","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626473","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626473","Conversion of amylose to amylopectin","Oryza sativa"
"A0EQG6","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626348","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626348","Synthesis of amylose","Oryza sativa"
"A0EQG8","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626473","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626473","Conversion of amylose to amylopectin","Oryza sativa"
"A0EQG8","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626348","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626348","Synthesis of amylose","Oryza sativa"
"A0EQH1","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626348","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626348","Synthesis of amylose","Oryza sativa"
"A0EQH1","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626473","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626473","Conversion of amylose to amylopectin","Oryza sativa"
"A0EQH2","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626473","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626473","Conversion of amylose to amylopectin","Oryza sativa"
"A0EQH2","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626348","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626348","Synthesis of amylose","Oryza sativa"
"A0EQH3","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626348","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626348","Synthesis of amylose","Oryza sativa"
"A0EQH3","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626473","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626473","Conversion of amylose to amylopectin","Oryza sativa"
"A0EQH5","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626473","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626473","Conversion of amylose to amylopectin","Oryza sativa"
"A0EQH5","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626348","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626348","Synthesis of amylose","Oryza sativa"
"A0MZ68","R-OSA-1119477","Starch biosynthesis","R-OSA-1120390","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120390","1,4-alpha-glucan branching enzyme","Oryza sativa"
"A0MZ68","R-OSA-1119477","Starch biosynthesis","R-OSA-9626368","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626368","Synthesis of highly branched alpha-glucan","Oryza sativa"
"A0MZ68","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-1120390","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120390","1,4-alpha-glucan branching enzyme","Oryza sativa"
"A0MZ68","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626368","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626368","Synthesis of highly branched alpha-glucan","Oryza sativa"
"A0PIS4","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626368","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626368","Synthesis of highly branched alpha-glucan","Oryza sativa"
"A0PIT1","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626368","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626368","Synthesis of highly branched alpha-glucan","Oryza sativa"
"A0PIY6","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A0PIZ2","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A0PIZ3","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A0PIZ4","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A0PIZ7","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A0SHG1","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A1KZP6","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A1KZP9","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A1KZQ2","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A1KZQ3","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A1KZQ5","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A1KZQ6","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A1KZQ7","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A1KZR0","R-OSA-1119449","Carotenoid biosynthesis","R-OSA-1120471","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120471","violaxanthin+L-ascorbate->antheraxanthin+L-dehydro-ascorbate+H2O","Oryza sativa"
"A1YQH8","R-OSA-9626305","Regulatory network of nutrient accumulation","R-OSA-9626368","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-9626368","Synthesis of highly branched alpha-glucan","Oryza sativa"
"A1YQI8","R-OSA-1119452","Galactose degradation II","R-OSA-1120067","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120067","Sucrose synthase","Oryza sativa"
"A1YQI8","R-OSA-1119465","Sucrose biosynthesis","R-OSA-1120067","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120067","Sucrose synthase","Oryza sativa"
"A1YQJ3","R-OSA-1119570","Cytosolic glycolysis","R-OSA-1120399","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120399","2-phospho-D-glycerate <=> phosphoenolpyruvate + H2O [cytosol]","Oryza sativa"
"A1YR13","R-OSA-1119273","Lysine biosynthesis I","R-OSA-1120601","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120601","dihydrodipicolinate reductase","Oryza sativa"
"A1YR13","R-OSA-1119283","Lysine biosynthesis II","R-OSA-1120601","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120601","dihydrodipicolinate reductase","Oryza sativa"
"A2CIS0","R-OSA-1119332","Jasmonic acid biosynthesis","R-OSA-1120511","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120511","Lipoxygenase","Oryza sativa"
"A2CIS0","R-OSA-1119332","Jasmonic acid biosynthesis","R-OSA-1119658","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1119658","O2+linolenate->13-HPOT","Oryza sativa"
"A2CIS0","R-OSA-1119566","Divinyl ether biosynthesis II (13-LOX)","R-OSA-1120511","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120511","Lipoxygenase","Oryza sativa"
"A2CIS0","R-OSA-1119566","Divinyl ether biosynthesis II (13-LOX)","R-OSA-1119658","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1119658","O2+linolenate->13-HPOT","Oryza sativa"
"A2CIS0","R-OSA-1119618","13-LOX and 13-HPL pathway","R-OSA-1120511","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120511","Lipoxygenase","Oryza sativa"
"A2CIS0","R-OSA-1119618","13-LOX and 13-HPL pathway","R-OSA-1119658","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1119658","O2+linolenate->13-HPOT","Oryza sativa"
"A2V654","R-OSA-1119420","Glutamate biosynthesis V","R-OSA-5603486","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-5603486","L-glutamine+2-oxaloglutarate+ 2 reduced ferredoxins->2 L-glutamate+2 oxidized ferredoxins","Oryza sativa"
"A2V654","R-OSA-1119420","Glutamate biosynthesis V","R-OSA-1121661","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121661","L-glutamine+2-oxaloglutarate+ 2 reduced ferredoxins->2 L-glutamate+2 oxidized ferredoxins","Oryza sativa"
"A2V654","R-OSA-1119443","Ammonia assimilation cycle","R-OSA-5603486","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-5603486","L-glutamine+2-oxaloglutarate+ 2 reduced ferredoxins->2 L-glutamate+2 oxidized ferredoxins","Oryza sativa"
"A2V654","R-OSA-1119443","Ammonia assimilation cycle","R-OSA-1121661","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121661","L-glutamine+2-oxaloglutarate+ 2 reduced ferredoxins->2 L-glutamate+2 oxidized ferredoxins","Oryza sativa"
"A2V657","R-OSA-1119420","Glutamate biosynthesis V","R-OSA-1121661","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121661","L-glutamine+2-oxaloglutarate+ 2 reduced ferredoxins->2 L-glutamate+2 oxidized ferredoxins","Oryza sativa"
"A2V657","R-OSA-1119420","Glutamate biosynthesis V","R-OSA-5603486","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-5603486","L-glutamine+2-oxaloglutarate+ 2 reduced ferredoxins->2 L-glutamate+2 oxidized ferredoxins","Oryza sativa"
"A2V657","R-OSA-1119443","Ammonia assimilation cycle","R-OSA-1121661","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121661","L-glutamine+2-oxaloglutarate+ 2 reduced ferredoxins->2 L-glutamate+2 oxidized ferredoxins","Oryza sativa"
"A2V657","R-OSA-1119443","Ammonia assimilation cycle","R-OSA-5603486","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-5603486","L-glutamine+2-oxaloglutarate+ 2 reduced ferredoxins->2 L-glutamate+2 oxidized ferredoxins","Oryza sativa"
"A2WJQ6","R-OSA-1119395","Maackiain biosynthesis","R-OSA-1121158","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121158","2'-hydroxypseudobaptigenin+NADPH->(-)-sophorol+NADP+","Oryza sativa"
"A2WJQ6","R-OSA-1119395","Maackiain biosynthesis","R-OSA-1120338","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120338","leucopelargonidin+NADPH->afzelechin+NADP++H2O","Oryza sativa"
"A2WJQ6","R-OSA-1119395","Maackiain biosynthesis","R-OSA-1120938","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120938","leucocyanidin+NADPH->2,3-trans-catechin+NADP++H2O","Oryza sativa"
"A2WJQ6","R-OSA-1119395","Maackiain biosynthesis","R-OSA-1120912","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120912","2-hydroxyformononetin+NADPH->(-)-vestitone+NADP+","Oryza sativa"
"A2WJQ6","R-OSA-1119453","Medicarpin biosynthesis","R-OSA-1121158","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121158","2'-hydroxypseudobaptigenin+NADPH->(-)-sophorol+NADP+","Oryza sativa"
"A2WJQ6","R-OSA-1119453","Medicarpin biosynthesis","R-OSA-1120338","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120338","leucopelargonidin+NADPH->afzelechin+NADP++H2O","Oryza sativa"
"A2WJQ6","R-OSA-1119453","Medicarpin biosynthesis","R-OSA-1120938","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120938","leucocyanidin+NADPH->2,3-trans-catechin+NADP++H2O","Oryza sativa"
"A2WJQ6","R-OSA-1119453","Medicarpin biosynthesis","R-OSA-1120912","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120912","2-hydroxyformononetin+NADPH->(-)-vestitone+NADP+","Oryza sativa"
"A2WJQ6","R-OSA-1119471","Proanthocyanidin biosynthesis from flavanols","R-OSA-1121158","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121158","2'-hydroxypseudobaptigenin+NADPH->(-)-sophorol+NADP+","Oryza sativa"
"A2WJQ6","R-OSA-1119471","Proanthocyanidin biosynthesis from flavanols","R-OSA-1120338","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120338","leucopelargonidin+NADPH->afzelechin+NADP++H2O","Oryza sativa"
"A2WJQ6","R-OSA-1119471","Proanthocyanidin biosynthesis from flavanols","R-OSA-1120938","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120938","leucocyanidin+NADPH->2,3-trans-catechin+NADP++H2O","Oryza sativa"
"A2WJQ6","R-OSA-1119471","Proanthocyanidin biosynthesis from flavanols","R-OSA-1120912","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120912","2-hydroxyformononetin+NADPH->(-)-vestitone+NADP+","Oryza sativa"
"A2WJQ7","R-OSA-1119395","Maackiain biosynthesis","R-OSA-1120938","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120938","leucocyanidin+NADPH->2,3-trans-catechin+NADP++H2O","Oryza sativa"
"A2WJQ7","R-OSA-1119395","Maackiain biosynthesis","R-OSA-1121158","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121158","2'-hydroxypseudobaptigenin+NADPH->(-)-sophorol+NADP+","Oryza sativa"
"A2WJQ7","R-OSA-1119395","Maackiain biosynthesis","R-OSA-1120912","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120912","2-hydroxyformononetin+NADPH->(-)-vestitone+NADP+","Oryza sativa"
"A2WJQ7","R-OSA-1119395","Maackiain biosynthesis","R-OSA-1120338","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120338","leucopelargonidin+NADPH->afzelechin+NADP++H2O","Oryza sativa"
"A2WJQ7","R-OSA-1119453","Medicarpin biosynthesis","R-OSA-1120938","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120938","leucocyanidin+NADPH->2,3-trans-catechin+NADP++H2O","Oryza sativa"
"A2WJQ7","R-OSA-1119453","Medicarpin biosynthesis","R-OSA-1121158","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121158","2'-hydroxypseudobaptigenin+NADPH->(-)-sophorol+NADP+","Oryza sativa"
"A2WJQ7","R-OSA-1119453","Medicarpin biosynthesis","R-OSA-1120912","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120912","2-hydroxyformononetin+NADPH->(-)-vestitone+NADP+","Oryza sativa"
"A2WJQ7","R-OSA-1119453","Medicarpin biosynthesis","R-OSA-1120338","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120338","leucopelargonidin+NADPH->afzelechin+NADP++H2O","Oryza sativa"
"A2WJQ7","R-OSA-1119471","Proanthocyanidin biosynthesis from flavanols","R-OSA-1120938","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120938","leucocyanidin+NADPH->2,3-trans-catechin+NADP++H2O","Oryza sativa"
"A2WJQ7","R-OSA-1119471","Proanthocyanidin biosynthesis from flavanols","R-OSA-1121158","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121158","2'-hydroxypseudobaptigenin+NADPH->(-)-sophorol+NADP+","Oryza sativa"
"A2WJQ7","R-OSA-1119471","Proanthocyanidin biosynthesis from flavanols","R-OSA-1120912","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120912","2-hydroxyformononetin+NADPH->(-)-vestitone+NADP+","Oryza sativa"
"A2WJQ7","R-OSA-1119471","Proanthocyanidin biosynthesis from flavanols","R-OSA-1120338","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120338","leucopelargonidin+NADPH->afzelechin+NADP++H2O","Oryza sativa"
"A2WJR2","R-OSA-1119464","Methylerythritol phosphate pathway","R-OSA-1120111","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120111","2-C-methyl-D-erythritol-4-phosphate+NADP+->1-deoxy-D-xylulose 5-phosphate+NADPH","Oryza sativa"
"A2WK81","R-OSA-1119410","Ascorbate biosynthesis","R-OSA-1121447","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121447","Mannose-6-phosphate isomerase","Oryza sativa"
"A2WK81","R-OSA-1119410","Ascorbate biosynthesis","R-OSA-5683282","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-5683282","mannose-6-phosphate->fructose-6-phosphate","Oryza sativa"
"A2WK81","R-OSA-1119595","Mannose degradation","R-OSA-1121447","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121447","Mannose-6-phosphate isomerase","Oryza sativa"
"A2WK81","R-OSA-1119595","Mannose degradation","R-OSA-5683282","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-5683282","mannose-6-phosphate->fructose-6-phosphate","Oryza sativa"
"A2WK81","R-OSA-1119628","GDP-mannose metabolism","R-OSA-1121447","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121447","Mannose-6-phosphate isomerase","Oryza sativa"
"A2WK81","R-OSA-1119628","GDP-mannose metabolism","R-OSA-5683282","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-5683282","mannose-6-phosphate->fructose-6-phosphate","Oryza sativa"
"A2WL56","R-OSA-1119330","Alanine biosynthesis II","R-OSA-1119932","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1119932","Tryptophan aminotransferase","Oryza sativa"
"A2WL56","R-OSA-1119330","Alanine biosynthesis II","R-OSA-1119647","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1119647","Alanine aminotransferase","Oryza sativa"
"A2WL56","R-OSA-1119486","IAA biosynthesis I","R-OSA-1119932","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1119932","Tryptophan aminotransferase","Oryza sativa"
"A2WL56","R-OSA-1119486","IAA biosynthesis I","R-OSA-1119647","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1119647","Alanine aminotransferase","Oryza sativa"
"A2WLA3","R-OSA-1119292","Cytokinins 7-N-glucoside biosynthesis","R-OSA-1120469","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120469","cis-zeatin+UDP-D-glucose->cis-zeatin-9-N-glucoside+UDP","Oryza sativa"
"A2WLA3","R-OSA-1119292","Cytokinins 7-N-glucoside biosynthesis","R-OSA-1120934","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120934","trans-zeatin-O-glucoside+UDP-D-glucose->trans-zeatin-O-glucoside-7-N-glucoside+UDP","Oryza sativa"
"A2WLA3","R-OSA-1119292","Cytokinins 7-N-glucoside biosynthesis","R-OSA-1120769","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120769","benzyladenine+UDP-D-glucose->benzyladenine-7-N-glucoside+UDP","Oryza sativa"
"A2WLA3","R-OSA-1119292","Cytokinins 7-N-glucoside biosynthesis","R-OSA-1119803","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1119803","cis-zeatin+UDP-D-glucose->cis-zeatin-7-N-glucoside+UDP","Oryza sativa"
"A2WLA3","R-OSA-1119292","Cytokinins 7-N-glucoside biosynthesis","R-OSA-1120609","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120609","dihydrozeatin+UDP-D-glucose->dihydrozeatin-9-N-glucoside+UDP","Oryza sativa"
"A2WLA3","R-OSA-1119292","Cytokinins 7-N-glucoside biosynthesis","R-OSA-1119657","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1119657","trans-zeatin+UDP-D-glucose->trans-zeatin-O-glucoside+UDP","Oryza sativa"
"A2WLA3","R-OSA-1119292","Cytokinins 7-N-glucoside biosynthesis","R-OSA-1120018","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120018","dihydrozeatin+UDP-D-glucose->dihydrozeatin-O-glucoside+UDP","Oryza sativa"
"A2WLA3","R-OSA-1119292","Cytokinins 7-N-glucoside biosynthesis","R-OSA-1120298","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1120298","kinetin+UDP-D-glucose->kinetin-9-N-glucoside+UDP","Oryza sativa"
"A2WLA3","R-OSA-1119292","Cytokinins 7-N-glucoside biosynthesis","R-OSA-1121643","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121643","trans-zeatin+UDP-D-glucose->trans-zeatin-9-N-glucoside+UDP","Oryza sativa"
"A2WLA3","R-OSA-1119292","Cytokinins 7-N-glucoside biosynthesis","R-OSA-1121503","http://plantreactome.gramene.org/PathwayBrowser/#/R-OSA-1121503","kinetin+UDP-D-glucose->kinetin-7-N-glucoside+UDP","Oryza sativa"
